Fecha,Categoría,Región,Cliente,Ventas,Cantidad,Descuento,Subcategoría
2023-01-26,Alimentos,Sucursal Oeste,Mayorista,776,14,15,Enlatados
2022-09-13,Alimentos,Sucursal Este,Mayorista,1494,2,0,Congelados
2031-01-30,Carnes,Sucursal Centro,Cliente Frecuente,4819,22,10,Res
2034-03-14,Alimentos,Sucursal Centro,Mayorista,155,40,5,Enlatados
2033-01-26,Alimentos,Sucursal Este,Cliente Frecuente,3054,14,20,Congelados
2024-08-08,Limpieza,Sucursal Norte,Cliente Frecuente,4652,12,10,Desinfectantes
2025-02-27,Limpieza,Sucursal Centro,Mayorista,3216,15,10,Detergentes
2023-07-10,Limpieza,Sucursal Este,Mayorista,2805,46,10,Esponjas
2030-12-03,Lácteos,Sucursal Sur,Cliente Frecuente,356,13,15,Yogurt
2025-10-13,Lácteos,Sucursal Centro,Corporativo,459,2,5,Yogurt
2023-11-27,Lácteos,Sucursal Centro,Cliente Ocasional,777,9,10,Quesos
2027-06-28,Lácteos,Sucursal Oeste,Cliente Ocasional,3732,40,15,Leche
2025-08-22,Limpieza,Sucursal Oeste,Cliente Ocasional,3211,47,20,Esponjas
2034-09-01,Bebidas,Sucursal Sur,Corporativo,3762,32,20,Café
2031-09-08,Limpieza,Sucursal Norte,Cliente Frecuente,1225,11,5,Esponjas
2026-03-18,Bebidas,Sucursal Oeste,Corporativo,4082,29,15,Café
2035-10-16,Panadería,Sucursal Sur,Mayorista,2700,1,20,Galletas
2036-11-07,Carnes,Sucursal Sur,Cliente Frecuente,2920,10,15,Cerdo
2027-07-05,Lácteos,Sucursal Este,Corporativo,3020,24,0,Quesos
2022-12-09,Panadería,Sucursal Este,Corporativo,3083,26,5,Pan
2033-08-06,Carnes,Sucursal Sur,Mayorista,1232,18,5,Pollo
2029-06-02,Lácteos,Sucursal Centro,Cliente Ocasional,1248,47,10,Yogurt
2028-11-26,Lácteos,Sucursal Norte,Cliente Ocasional,1387,26,10,Quesos
2032-02-05,Bebidas,Sucursal Sur,Corporativo,511,7,10,Refrescos
2026-02-22,Alimentos,Sucursal Sur,Cliente Frecuente,4583,7,0,Enlatados
2036-12-27,Panadería,Sucursal Norte,Cliente Frecuente,3276,43,10,Pan
2033-03-23,Limpieza,Sucursal Este,Cliente Ocasional,1805,32,10,Detergentes
2031-02-14,Panadería,Sucursal Centro,Corporativo,4721,19,5,Pasteles
2035-04-14,Limpieza,Sucursal Centro,Cliente Frecuente,187,19,5,Detergentes
2030-05-23,Alimentos,Sucursal Sur,Cliente Ocasional,578,28,10,Enlatados
2025-05-31,Bebidas,Sucursal Sur,Cliente Ocasional,1062,23,10,Café
2022-09-20,Bebidas,Sucursal Este,Mayorista,1795,16,0,Jugos
2025-01-16,Carnes,Sucursal Norte,Corporativo,2084,46,5,Pollo
2024-11-04,Limpieza,Sucursal Este,Mayorista,2253,4,10,Esponjas
2030-01-16,Alimentos,Sucursal Centro,Cliente Ocasional,600,47,0,Frescos
2025-05-07,Panadería,Sucursal Centro,Cliente Frecuente,837,43,10,Pan
2023-03-15,Lácteos,Sucursal Centro,Corporativo,3900,32,15,Yogurt
2029-01-31,Bebidas,Sucursal Este,Corporativo,4572,27,15,Refrescos
2029-10-25,Bebidas,Sucursal Norte,Cliente Ocasional,4341,20,5,Refrescos
2033-01-12,Carnes,Sucursal Centro,Corporativo,4359,15,20,Pescado
2027-03-18,Limpieza,Sucursal Oeste,Cliente Frecuente,2038,28,10,Detergentes
2032-09-19,Carnes,Sucursal Sur,Mayorista,2530,26,0,Res
2024-05-17,Panadería,Sucursal Oeste,Cliente Ocasional,491,29,15,Galletas
2032-02-18,Alimentos,Sucursal Norte,Mayorista,1524,4,10,Congelados
2033-06-27,Alimentos,Sucursal Sur,Cliente Frecuente,1293,4,15,Congelados
2028-02-20,Bebidas,Sucursal Norte,Corporativo,3798,48,15,Refrescos
2029-11-03,Alimentos,Sucursal Este,Cliente Frecuente,3979,7,0,Congelados
2028-12-16,Bebidas,Sucursal Sur,Mayorista,4658,17,5,Té
2033-04-05,Bebidas,Sucursal Centro,Mayorista,1739,6,15,Refrescos
2026-07-28,Bebidas,Sucursal Centro,Mayorista,4000,41,5,Jugos
2025-02-07,Carnes,Sucursal Sur,Corporativo,4534,1,10,Cerdo
2036-04-03,Bebidas,Sucursal Norte,Corporativo,2897,37,15,Jugos
2033-05-05,Carnes,Sucursal Norte,Corporativo,1875,31,15,Pollo
2022-09-29,Lácteos,Sucursal Este,Corporativo,3178,28,15,Yogurt
2031-04-11,Bebidas,Sucursal Norte,Corporativo,414,32,0,Jugos
2031-07-14,Limpieza,Sucursal Sur,Mayorista,430,11,15,Detergentes
2031-03-28,Panadería,Sucursal Este,Cliente Ocasional,4872,2,15,Pan
2031-08-07,Bebidas,Sucursal Este,Cliente Frecuente,2490,45,15,Café
2038-02-14,Limpieza,Sucursal Sur,Cliente Ocasional,4468,25,10,Detergentes
2025-12-14,Bebidas,Sucursal Centro,Cliente Ocasional,2162,21,15,Café
2032-12-11,Alimentos,Sucursal Centro,Mayorista,3666,41,10,Congelados
2024-09-06,Bebidas,Sucursal Oeste,Corporativo,1282,31,15,Jugos
2024-04-16,Limpieza,Sucursal Este,Cliente Frecuente,822,1,5,Desinfectantes
2032-10-08,Lácteos,Sucursal Este,Corporativo,1646,1,15,Quesos
2026-02-19,Limpieza,Sucursal Este,Mayorista,263,28,10,Esponjas
2027-10-10,Carnes,Sucursal Este,Mayorista,3507,28,5,Res
2022-11-18,Panadería,Sucursal Sur,Cliente Ocasional,2029,16,0,Pan
2032-10-31,Carnes,Sucursal Centro,Mayorista,4601,16,15,Pollo
2035-04-25,Alimentos,Sucursal Centro,Cliente Frecuente,4267,18,5,Enlatados
2027-06-20,Panadería,Sucursal Sur,Cliente Ocasional,4078,24,15,Pan
2022-11-20,Carnes,Sucursal Norte,Cliente Ocasional,4474,6,0,Pescado
2024-03-30,Bebidas,Sucursal Oeste,Mayorista,3521,44,0,Refrescos
2032-03-08,Limpieza,Sucursal Norte,Cliente Frecuente,790,14,0,Desinfectantes
2024-09-25,Limpieza,Sucursal Sur,Cliente Ocasional,3801,8,20,Desinfectantes
2033-06-16,Panadería,Sucursal Sur,Mayorista,2362,12,15,Pasteles
2034-05-06,Alimentos,Sucursal Oeste,Mayorista,2878,15,0,Frescos
2037-01-06,Limpieza,Sucursal Norte,Cliente Ocasional,3403,37,20,Detergentes
2025-09-05,Alimentos,Sucursal Norte,Cliente Ocasional,1083,6,5,Enlatados
2034-02-23,Carnes,Sucursal Este,Corporativo,3325,23,15,Res
2032-12-18,Lácteos,Sucursal Este,Mayorista,3825,29,0,Quesos
2028-12-03,Lácteos,Sucursal Este,Corporativo,2221,16,20,Yogurt
2025-11-02,Panadería,Sucursal Norte,Cliente Ocasional,254,34,0,Galletas
2023-03-01,Alimentos,Sucursal Norte,Corporativo,1998,19,5,Frescos
2029-09-11,Alimentos,Sucursal Sur,Corporativo,3404,49,0,Frescos
2033-06-05,Alimentos,Sucursal Norte,Mayorista,1530,8,20,Enlatados
2027-08-19,Carnes,Sucursal Centro,Mayorista,1693,41,15,Cerdo
2034-04-14,Alimentos,Sucursal Centro,Cliente Ocasional,3745,25,0,Congelados
2036-08-17,Bebidas,Sucursal Sur,Cliente Frecuente,230,20,5,Café
2036-07-24,Panadería,Sucursal Sur,Cliente Ocasional,4290,49,5,Pan
2034-09-23,Bebidas,Sucursal Centro,Corporativo,556,47,15,Jugos
2032-11-03,Carnes,Sucursal Centro,Corporativo,2352,18,5,Res
2027-06-18,Alimentos,Sucursal Norte,Mayorista,2313,11,0,Frescos
2023-04-06,Bebidas,Sucursal Oeste,Mayorista,1603,39,0,Café
2032-03-26,Alimentos,Sucursal Sur,Mayorista,130,28,20,Frescos
2026-02-23,Carnes,Sucursal Centro,Corporativo,879,26,0,Res
2034-12-15,Panadería,Sucursal Centro,Cliente Ocasional,686,31,5,Pan
2026-03-02,Alimentos,Sucursal Centro,Cliente Ocasional,3212,49,5,Congelados
2033-08-02,Carnes,Sucursal Este,Corporativo,264,12,5,Cerdo
2025-12-23,Panadería,Sucursal Norte,Mayorista,2600,10,20,Pan
2024-02-03,Carnes,Sucursal Este,Mayorista,3660,21,10,Pescado
2031-02-12,Limpieza,Sucursal Norte,Corporativo,853,33,0,Detergentes
2038-02-05,Alimentos,Sucursal Centro,Cliente Ocasional,2856,2,15,Congelados
2025-05-15,Lácteos,Sucursal Oeste,Cliente Frecuente,3863,36,0,Quesos
2031-08-14,Carnes,Sucursal Centro,Mayorista,704,13,5,Pollo
2034-10-16,Alimentos,Sucursal Oeste,Cliente Frecuente,3854,12,15,Enlatados
2023-04-27,Limpieza,Sucursal Este,Cliente Ocasional,4191,2,5,Desinfectantes
2029-01-07,Carnes,Sucursal Oeste,Mayorista,752,25,5,Cerdo
2022-01-18,Lácteos,Sucursal Oeste,Cliente Frecuente,3651,45,10,Quesos
2036-04-05,Bebidas,Sucursal Este,Mayorista,1963,44,10,Café
2035-04-09,Limpieza,Sucursal Norte,Cliente Frecuente,1040,36,15,Esponjas
2031-01-01,Panadería,Sucursal Este,Cliente Ocasional,3501,13,20,Galletas
2033-10-03,Panadería,Sucursal Norte,Cliente Ocasional,3320,29,15,Pan
2029-04-11,Panadería,Sucursal Norte,Cliente Frecuente,2746,13,0,Pasteles
2029-02-23,Limpieza,Sucursal Oeste,Cliente Frecuente,433,27,20,Detergentes
2031-05-23,Lácteos,Sucursal Este,Mayorista,2039,25,0,Leche
2036-05-17,Limpieza,Sucursal Oeste,Mayorista,2981,14,15,Detergentes
2038-04-01,Limpieza,Sucursal Este,Corporativo,3502,34,15,Detergentes
2023-07-12,Panadería,Sucursal Oeste,Corporativo,174,26,15,Galletas
2024-07-20,Alimentos,Sucursal Norte,Cliente Frecuente,3009,12,0,Congelados
2037-06-21,Alimentos,Sucursal Oeste,Cliente Frecuente,1131,3,20,Enlatados
2028-11-28,Limpieza,Sucursal Este,Cliente Ocasional,4384,27,5,Esponjas
2023-11-18,Lácteos,Sucursal Centro,Cliente Ocasional,739,43,5,Leche
2033-01-05,Limpieza,Sucursal Este,Cliente Frecuente,880,27,15,Esponjas
2028-12-26,Limpieza,Sucursal Oeste,Corporativo,4739,43,15,Detergentes
2033-06-01,Bebidas,Sucursal Oeste,Corporativo,4135,37,15,Refrescos
2029-03-07,Panadería,Sucursal Norte,Corporativo,1730,40,15,Pasteles
2026-09-28,Lácteos,Sucursal Sur,Mayorista,2964,41,15,Leche
2026-08-03,Panadería,Sucursal Oeste,Cliente Frecuente,503,32,0,Galletas
2037-02-21,Bebidas,Sucursal Oeste,Cliente Ocasional,938,26,0,Jugos
2027-11-11,Limpieza,Sucursal Norte,Corporativo,1791,17,5,Esponjas
2028-11-12,Lácteos,Sucursal Centro,Corporativo,510,7,15,Quesos
2032-11-22,Carnes,Sucursal Centro,Cliente Ocasional,1676,28,20,Cerdo
2030-01-26,Alimentos,Sucursal Norte,Corporativo,1450,4,0,Frescos
2034-06-05,Alimentos,Sucursal Centro,Cliente Ocasional,1654,45,0,Frescos
2023-02-12,Carnes,Sucursal Este,Corporativo,2183,8,20,Pescado
2022-10-09,Limpieza,Sucursal Oeste,Cliente Ocasional,3119,18,5,Esponjas
2029-10-14,Alimentos,Sucursal Centro,Cliente Frecuente,2455,45,10,Congelados
2023-03-18,Limpieza,Sucursal Sur,Cliente Frecuente,3554,11,0,Esponjas
2034-12-02,Lácteos,Sucursal Norte,Cliente Ocasional,4073,40,15,Yogurt
2031-10-20,Limpieza,Sucursal Centro,Cliente Frecuente,4158,15,5,Detergentes
2033-12-04,Limpieza,Sucursal Oeste,Cliente Frecuente,3031,44,0,Detergentes
2037-09-10,Lácteos,Sucursal Centro,Mayorista,1238,13,15,Yogurt
2029-07-29,Panadería,Sucursal Oeste,Mayorista,1134,23,5,Pasteles
2036-12-14,Panadería,Sucursal Norte,Cliente Frecuente,3091,48,0,Pan
2030-03-23,Alimentos,Sucursal Norte,Cliente Ocasional,103,9,0,Enlatados
2031-10-15,Alimentos,Sucursal Sur,Cliente Frecuente,4045,31,15,Congelados
2028-10-16,Alimentos,Sucursal Oeste,Mayorista,1897,38,5,Congelados
2025-08-29,Lácteos,Sucursal Norte,Cliente Ocasional,1754,10,0,Quesos
2024-05-05,Limpieza,Sucursal Sur,Mayorista,1547,7,20,Detergentes
2023-09-05,Bebidas,Sucursal Este,Mayorista,3436,5,15,Refrescos
2034-02-08,Carnes,Sucursal Oeste,Mayorista,3558,10,0,Pescado
2028-06-18,Lácteos,Sucursal Norte,Cliente Frecuente,4944,39,5,Yogurt
2029-03-05,Limpieza,Sucursal Oeste,Cliente Ocasional,4318,22,5,Desinfectantes
2036-07-20,Limpieza,Sucursal Oeste,Corporativo,1086,30,15,Esponjas
2035-12-12,Bebidas,Sucursal Este,Cliente Ocasional,4867,35,0,Jugos
2029-06-14,Bebidas,Sucursal Norte,Corporativo,4221,17,10,Té
2036-03-17,Alimentos,Sucursal Sur,Cliente Ocasional,277,10,15,Congelados
2029-05-08,Panadería,Sucursal Sur,Corporativo,3592,43,5,Pan
2031-06-28,Bebidas,Sucursal Norte,Corporativo,1970,14,10,Té
2036-08-02,Panadería,Sucursal Centro,Cliente Ocasional,957,29,10,Pan
2031-02-06,Alimentos,Sucursal Sur,Cliente Frecuente,1852,32,0,Enlatados
2037-07-01,Alimentos,Sucursal Norte,Corporativo,2947,11,0,Congelados
2034-02-05,Limpieza,Sucursal Centro,Cliente Ocasional,1554,30,5,Esponjas
2030-06-10,Lácteos,Sucursal Este,Corporativo,3693,12,10,Yogurt
2026-10-31,Panadería,Sucursal Norte,Cliente Frecuente,2920,47,20,Pasteles
2026-12-01,Panadería,Sucursal Oeste,Corporativo,3802,4,15,Galletas
2027-05-23,Panadería,Sucursal Norte,Corporativo,2256,21,20,Pasteles
2024-01-02,Alimentos,Sucursal Oeste,Mayorista,1221,25,5,Enlatados
2037-12-03,Carnes,Sucursal Sur,Mayorista,4799,15,5,Pollo
2034-01-04,Alimentos,Sucursal Oeste,Cliente Frecuente,751,47,5,Frescos
2031-03-20,Bebidas,Sucursal Norte,Mayorista,681,5,20,Té
2031-04-01,Limpieza,Sucursal Norte,Cliente Ocasional,4648,20,20,Detergentes
2035-07-23,Lácteos,Sucursal Oeste,Mayorista,1184,8,5,Quesos
2038-05-10,Limpieza,Sucursal Oeste,Mayorista,2303,32,10,Detergentes
2035-01-14,Alimentos,Sucursal Centro,Cliente Frecuente,89,14,0,Congelados
2036-07-12,Alimentos,Sucursal Oeste,Cliente Ocasional,4312,1,0,Frescos
2022-07-14,Alimentos,Sucursal Sur,Mayorista,710,25,10,Frescos
2036-11-04,Bebidas,Sucursal Centro,Cliente Frecuente,4155,25,15,Café
2030-06-10,Limpieza,Sucursal Oeste,Corporativo,4697,29,15,Esponjas
2036-05-23,Lácteos,Sucursal Oeste,Mayorista,4678,29,15,Yogurt
2024-01-28,Lácteos,Sucursal Centro,Cliente Ocasional,2000,28,5,Yogurt
2035-12-07,Lácteos,Sucursal Sur,Mayorista,142,39,10,Leche
2025-07-29,Carnes,Sucursal Centro,Corporativo,1771,16,10,Pescado
2034-03-10,Limpieza,Sucursal Norte,Corporativo,4091,27,5,Esponjas
2031-12-31,Limpieza,Sucursal Centro,Cliente Frecuente,3448,45,10,Detergentes
2037-09-26,Alimentos,Sucursal Este,Cliente Frecuente,3021,26,15,Frescos
2031-04-17,Alimentos,Sucursal Norte,Cliente Frecuente,2301,5,20,Frescos
2029-01-11,Bebidas,Sucursal Centro,Cliente Frecuente,4556,13,10,Té
2023-03-31,Lácteos,Sucursal Oeste,Cliente Ocasional,3245,12,5,Leche
2027-03-07,Limpieza,Sucursal Oeste,Mayorista,672,3,0,Esponjas
2036-08-20,Panadería,Sucursal Sur,Cliente Frecuente,1863,26,20,Galletas
2032-04-09,Carnes,Sucursal Centro,Cliente Frecuente,2267,37,5,Cerdo
2030-04-15,Alimentos,Sucursal Este,Cliente Frecuente,2094,48,15,Enlatados
2027-12-26,Carnes,Sucursal Norte,Cliente Ocasional,2437,40,0,Pollo
2028-01-26,Carnes,Sucursal Este,Cliente Ocasional,3096,15,10,Pollo
2026-02-22,Panadería,Sucursal Sur,Cliente Frecuente,4542,36,20,Galletas
2037-05-28,Bebidas,Sucursal Oeste,Mayorista,2299,14,0,Café
2024-01-15,Lácteos,Sucursal Sur,Cliente Ocasional,4046,23,20,Quesos
2030-07-14,Limpieza,Sucursal Sur,Cliente Frecuente,168,34,5,Esponjas
2023-08-28,Alimentos,Sucursal Centro,Corporativo,4200,32,15,Congelados
2030-05-06,Carnes,Sucursal Norte,Corporativo,1616,39,5,Pescado
2025-02-06,Panadería,Sucursal Este,Cliente Ocasional,2454,40,15,Pan
2029-03-06,Alimentos,Sucursal Norte,Cliente Ocasional,2524,4,0,Enlatados
2038-05-29,Bebidas,Sucursal Sur,Corporativo,4348,39,5,Jugos
2035-12-28,Lácteos,Sucursal Norte,Cliente Frecuente,2251,40,20,Quesos
2033-11-22,Limpieza,Sucursal Este,Cliente Frecuente,54,24,10,Desinfectantes
2032-06-28,Alimentos,Sucursal Norte,Cliente Frecuente,4097,14,10,Congelados
2030-06-14,Lácteos,Sucursal Centro,Cliente Ocasional,4734,28,0,Yogurt
2029-11-18,Alimentos,Sucursal Sur,Mayorista,561,16,15,Frescos
2024-07-13,Lácteos,Sucursal Sur,Cliente Ocasional,4693,17,15,Yogurt
2029-03-25,Alimentos,Sucursal Sur,Mayorista,3121,34,15,Frescos
2029-09-01,Panadería,Sucursal Este,Mayorista,3679,40,0,Pasteles
2030-10-30,Alimentos,Sucursal Norte,Mayorista,2897,11,20,Enlatados
2025-02-24,Panadería,Sucursal Norte,Cliente Ocasional,1139,26,15,Galletas
2028-01-01,Bebidas,Sucursal Norte,Cliente Ocasional,1847,4,0,Té
2028-11-17,Alimentos,Sucursal Sur,Cliente Ocasional,2769,24,15,Frescos
2023-10-02,Lácteos,Sucursal Oeste,Cliente Ocasional,922,35,5,Quesos
2034-07-27,Carnes,Sucursal Norte,Cliente Ocasional,84,35,5,Pescado
2030-05-13,Bebidas,Sucursal Este,Mayorista,2887,16,20,Jugos
2032-01-17,Limpieza,Sucursal Norte,Cliente Ocasional,3907,17,20,Desinfectantes
2026-11-07,Limpieza,Sucursal Centro,Mayorista,4651,38,10,Esponjas
2036-08-13,Carnes,Sucursal Norte,Cliente Frecuente,2339,14,0,Pescado
2035-08-22,Carnes,Sucursal Este,Cliente Frecuente,110,44,20,Pescado
2033-08-16,Limpieza,Sucursal Norte,Corporativo,4241,6,5,Detergentes
2023-06-29,Limpieza,Sucursal Norte,Mayorista,2709,29,10,Esponjas
2037-03-06,Bebidas,Sucursal Este,Cliente Ocasional,2915,43,10,Refrescos
2038-05-23,Panadería,Sucursal Sur,Cliente Ocasional,563,39,20,Pan
2037-04-18,Alimentos,Sucursal Este,Mayorista,2699,49,20,Congelados
2026-06-28,Carnes,Sucursal Oeste,Cliente Frecuente,3576,15,5,Res
2026-05-14,Bebidas,Sucursal Este,Corporativo,4228,24,20,Refrescos
2034-07-21,Alimentos,Sucursal Sur,Cliente Frecuente,2661,26,15,Congelados
2035-09-19,Lácteos,Sucursal Oeste,Mayorista,1579,22,0,Quesos
2029-10-09,Limpieza,Sucursal Centro,Cliente Frecuente,1192,37,15,Esponjas
2037-06-01,Panadería,Sucursal Norte,Mayorista,3312,10,15,Pan
2033-05-12,Bebidas,Sucursal Sur,Cliente Ocasional,2950,22,5,Café
2027-07-03,Carnes,Sucursal Sur,Cliente Ocasional,1591,4,5,Pollo
2022-11-27,Limpieza,Sucursal Centro,Corporativo,3866,43,20,Desinfectantes
2028-12-18,Alimentos,Sucursal Centro,Cliente Frecuente,2001,9,0,Congelados
2030-01-23,Lácteos,Sucursal Sur,Corporativo,2638,15,20,Leche
2032-08-11,Limpieza,Sucursal Este,Mayorista,920,2,0,Detergentes
2024-05-31,Bebidas,Sucursal Norte,Cliente Frecuente,553,49,15,Té
2030-08-22,Limpieza,Sucursal Este,Cliente Frecuente,2512,33,0,Esponjas
2034-10-24,Panadería,Sucursal Centro,Cliente Ocasional,2352,14,10,Pan
2038-05-12,Bebidas,Sucursal Sur,Corporativo,4110,5,20,Café
2031-10-14,Panadería,Sucursal Este,Cliente Ocasional,365,9,15,Pan
2038-05-08,Alimentos,Sucursal Oeste,Corporativo,4943,17,5,Congelados
2035-08-23,Lácteos,Sucursal Sur,Cliente Frecuente,2536,11,5,Yogurt
2031-04-30,Panadería,Sucursal Centro,Cliente Frecuente,571,22,0,Galletas
2030-06-29,Carnes,Sucursal Centro,Cliente Frecuente,1342,44,15,Res
2022-10-21,Bebidas,Sucursal Este,Mayorista,3459,6,10,Café
2033-03-21,Alimentos,Sucursal Este,Corporativo,2610,35,15,Enlatados
2022-05-14,Alimentos,Sucursal Centro,Corporativo,1115,6,20,Frescos
2029-03-22,Panadería,Sucursal Norte,Mayorista,4395,37,10,Galletas
2023-09-02,Carnes,Sucursal Este,Mayorista,1884,33,20,Pollo
2034-12-09,Alimentos,Sucursal Centro,Cliente Frecuente,958,14,20,Enlatados
2034-06-17,Alimentos,Sucursal Norte,Cliente Ocasional,328,49,10,Enlatados
2028-10-26,Limpieza,Sucursal Oeste,Corporativo,4478,3,10,Desinfectantes
2037-02-24,Limpieza,Sucursal Oeste,Mayorista,1842,16,0,Esponjas
2034-04-29,Panadería,Sucursal Este,Cliente Ocasional,1976,43,10,Galletas
2036-05-31,Panadería,Sucursal Sur,Mayorista,322,18,15,Galletas
2031-03-13,Panadería,Sucursal Este,Corporativo,1682,41,15,Galletas
2023-04-10,Bebidas,Sucursal Este,Mayorista,2301,39,0,Té
2030-11-05,Lácteos,Sucursal Este,Mayorista,3252,28,20,Yogurt
2030-06-12,Panadería,Sucursal Oeste,Mayorista,1417,36,10,Galletas
2037-09-01,Panadería,Sucursal Oeste,Corporativo,1090,15,15,Pan
2031-09-10,Panadería,Sucursal Este,Corporativo,2452,6,20,Pasteles
2031-12-02,Bebidas,Sucursal Sur,Mayorista,2700,32,5,Té
2025-10-10,Bebidas,Sucursal Norte,Mayorista,3969,21,10,Café
2026-03-24,Carnes,Sucursal Oeste,Cliente Ocasional,3210,42,15,Res
2029-04-20,Limpieza,Sucursal Norte,Cliente Frecuente,1998,27,15,Detergentes
2022-01-15,Alimentos,Sucursal Oeste,Corporativo,4544,24,10,Frescos
2034-12-05,Lácteos,Sucursal Oeste,Mayorista,4308,48,5,Quesos
2034-12-20,Carnes,Sucursal Centro,Mayorista,1794,16,0,Pescado
2034-07-13,Alimentos,Sucursal Centro,Cliente Ocasional,2784,42,0,Enlatados
2037-10-11,Carnes,Sucursal Norte,Cliente Ocasional,3535,29,15,Pescado
2024-11-27,Limpieza,Sucursal Oeste,Mayorista,3736,45,0,Desinfectantes
